,formula_charge,formula_discharge,voltage
350,Mn4NiO8,LiMn4NiO8,3.6394856367
950,Li4Mn3O8,Li11Mn6O16,2.4202516867
267,WOF3,LiW4(OF3)4,3.0848397667
1287,VPO5,LiVPO5,3.6459429708
33,Cu4(BiS2)5,LiCu4(BiS2)5,1.7536335067
938,V5O12,Li2V5O12,3.4846461571
887,MnFe2(PO4)3,Li2MnFe2(PO4)3,3.4012871983
185,Li2Mn5(CuO6)2,Li3Mn5(CuO6)2,3.0990268467
484,Li2Ti2V3O10,Li3Ti2V3O10,2.5428703067
458,V4NiS8,LiV4NiS8,1.9209031767
1260,Li3V5O12,Li6V5O12,2.74464905
755,Li2Co(NiO3)2,Li3Co(NiO3)2,3.6125227233
319,FePO4,LiFePO4,3.1737803817
561,CrO2,LiCr2O4,3.7421670842
307,Li3V2Fe3O10,Li5V2Fe3O10,2.5647651767
649,V2O5,LiV4O10,3.5227849467
1005,V3OF11,LiV3OF11,4.5732582333
674,LiMn2O4,LiMnO2,2.7866248917
1223,Li4Co13O28,Li9Co13O28,3.9006069293
727,Li4Mn2V3Cr3O16,Li10Mn2V3Cr3O16,2.0084557567
177,MnCu3(PO4)4,Li4MnCu3(PO4)4,4.1529418192
929,MoP2O7,LiMoP2O7,3.3867797933
559,LiMn3CrO8,Li3Mn3CrO8,3.0557344917
1158,Li3MnF7,Li4MnF7,4.5864828883
654,V5O12,LiV5O12,3.6827370967
560,LiCr2O4,LiCrO2,3.4727806167
653,LiV5O12,Li3V5O12,3.2702827167
1155,Mn3F8,Li2Mn3F8,4.2259650258
1011,V3OF11,LiV3OF11,4.3829504733
217,LiMn2P2(O4F)2,LiMnPO4F,4.4869499467
529,Li3Mn2P2(CO7)2,Li2MnPCO7,3.8125593167
784,Cr3Cu(PO4)4,Li4Cr3Cu(PO4)4,3.1401202233
1027,CrP2O7,LiCrP2O7,4.7694923608
1296,Ni4(PO4)3,LiNi4(PO4)3,4.3070694933
115,TiCo3O8,Li2TiCo3O8,4.0535483267
855,LiCoCSO7,Li2CoCSO7,4.2246359008
1281,VPO4,LiV2(PO4)2,2.4479903433
51,Li3Mn2P2(CO7)2,Li5Mn2P2(CO7)2,3.6147936642
1014,LiTi8O16,Li5Ti12O24,1.8736101983
6,Hf2Ag3F14,LiHf2Ag3F14,4.6001225267
898,MnFe7(PO4)8,Li8MnFe7(PO4)8,3.5486194546
512,MnCoO4,Li2Mn3(CoO4)3,4.0944509667
712,LiV2H4(OF5)2,LiVH2OF5,4.5392607733
690,Cu3Sb(PO4)4,Li4Cu3Sb(PO4)4,3.6375136033
233,V3O5F3,LiV3O5F3,3.9594232517
732,Li3Fe2P2(CO7)2,Li5Fe2P2(CO7)2,3.8545271133
1015,Li5Ti12O24,Li7Ti16O32,1.5818727533
867,LiFe2(CO3)3,Li2Fe2(CO3)3,3.0915734983
507,Mn4CoO8,LiMn4CoO8,3.5216216567
81,LiFe(CoO3)2,Li3Fe(CoO3)2,3.5858261367
1087,Mn3TeO8,Li3Mn3TeO8,3.196099295
880,VCrO4,LiVCrO4,2.8811584233
62,NaMnPCO7,NaLiMnPCO7,4.1313767017
146,LiMn2Cr2O8,Li3Mn2Cr2O8,3.5457717967
1192,TiVO4,Li2TiVO4,2.0704666233
797,Li2Cr3(CoO4)3,Li4Cr3(CoO4)3,3.7742428583
702,LiV3(CoO6)2,Li3V3(CoO6)2,4.0824449108
205,CuPO4,LiCu2(PO4)2,4.5061090667
45,KMnPCO7,KLiMnPCO7,3.9116115167
919,Mo2P2O11,LiMo2P2O11,3.8269738083
1289,Li7V4(PO4)6,Li4V2(PO4)3,2.0381880133
1060,Li3Mn3FeO8,Li4Mn3FeO8,2.7975183033
803,CrCo3O8,Li2CrCo3O8,4.1575153508
220,MnVP2(O4F)2,LiMnVP2(O4F)2,4.3610327167
160,CrPO5,LiCrPO5,4.4500446917
889,Mn3Fe(PO4)4,Li4Mn3Fe(PO4)4,3.7128387158
583,V2OF7,LiV2OF7,4.5229412067
823,Mo15Se19,Li2Mo15Se19,1.2350074183
657,V2O5,LiV28O70,3.6642976267
1137,Li2VF6,Li11V4F24,3.8930538083
915,LiNi(PS3)2,Li2Ni(PS3)2,2.2574163333
155,Li(CrS2)2,LiCrS2,2.3693221517
1248,Fe5P3O13,LiFe5P3O13,2.8812235383
1026,Cr3(P2O7)2,Li2Cr3(P2O7)2,2.7702423858
1008,V3OF11,Li4V3OF11,3.9777915983
316,FePO4,LiFePO4,3.3357087492
1235,LiVOF3,Li2VOF3,3.2454677258
213,K3RbMn2F12,K3RbLiMn2F12,3.7734954167
126,CoPO4,LiCoPO4,4.2576689629
97,MnCo3(PO4)4,Li4MnCo3(PO4)4,4.2107311742
1286,Li3V4P9O32,Li7V4P9O32,3.5911523746
547,CoO2,Li(CoO2)2,3.9555003992
315,FePO4,LiFePO4,3.4916265592
1167,Cr(PO3)3,LiCr(PO3)3,2.7571258708
593,LiFeNiO4,Li3Fe2(NiO4)2,3.4928076467
618,Li3Mn4(PO4)6,Li3Mn2(PO4)3,4.29710204
309,LiVFeO4,Li2VFeO4,2.3360704017
125,CoPO4,LiCoPO4,4.3018111717
1241,Fe3(P3O10)2,LiFe3(P3O10)2,4.4761467583
983,Li2Mn2(PO4)3,Li7Mn4(PO4)6,3.8865730867
229,V2OF5,LiV2OF5,3.4389782267
554,CoP2O7,LiCoP2O7,4.9086091467
943,Li4V5O10,LiVO2,2.2199986433
414,LiMo(PO4)2,Li2Mo(PO4)2,3.7270714767
1163,Li3MnF6,Li4MnF6,3.8998123733
744,Li2V(CO3)3,Li3V(CO3)3,3.5339085783
65,Cr3Co(PO4)6,Li6Cr3Co(PO4)6,4.43478926
516,Li2MnCo3O8,Li3MnCo3O8,3.6007286867
1249,LiFeP2O7,Li2FeP2O7,3.1986506008
96,Li2MgCo13O28,Li14MgCo13O28,3.7386259325
1288,LiV2(PO4)3,Li2V2(PO4)3,3.4262122808
18,Cu2AsClO4,LiCu4As2(ClO4)2,3.6025794567
776,LiCu3(CO3)3,Li2Cu3(CO3)3,3.2951006683
124,CoPO4,LiCoPO4,4.2474506929
122,LiCo2(P2O7)2,LiCoP2O7,4.6560927667
192,Li(CuS)6,Li(CuS)2,1.9188368267
739,LiMnPCO7,Li2MnPCO7,3.8791944633
131,CrPO4F,LiCrPO4F,4.3772295742
490,YbVO4,LiYb2V2O8,4.4362203967
757,LiCr(SO4)2,Li2Cr(SO4)2,2.9401229721
987,Li3MnV(PO4)3,Li4MnV(PO4)3,3.3343814033
1181,P4WO12,LiP4WO12,3.5699310933
934,VSn(PO4)2,Li2VSn(PO4)2,2.6154506271
768,Fe3Co(PO4)4,Li4Fe3Co(PO4)4,3.7308980308
1021,Li2MnV(P2O7)2,Li3MnV(P2O7)2,3.4697131083
988,MnV3(PO4)4,Li4MnV3(PO4)4,2.7692100958
141,Mn15CrO32,Li8Mn15CrO32,3.8326622967
321,LiFe2(PO4)2,LiFePO4,3.5092157917
1124,VF5,LiVF5,4.8644635696
21,VAsO5,LiVAsO5,3.8472238267
1184,Ti(PO3)4,LiTi(PO3)4,3.2612057583
116,TiCo5O12,Li4TiCo5O12,3.8088306192
774,LiFe(CO3)2,Li2Fe(CO3)2,3.3020966608
541,K2Li2CoO4,K2Li3CoO4,2.5591308642
1020,V6O5F19,Li5V6O5F19,4.2257860993
489,YbTiO3,LiYb2Ti2O6,0.4813566667
574,MnF3,LiMn2F6,4.5195406567
1220,V(PO3)4,LiV(PO3)4,4.7977730083
926,MoP2O7,LiMoP2O7,3.2521015483
782,MnCo(PO4)2,Li2MnCo(PO4)2,4.0634000758
404,Li3Mn3WO8,Li4Mn3WO8,2.1263612167
694,VCr3(PO4)6,Li6VCr3(PO4)6,4.0944177483
531,LiMnPCO7,Li5Mn2P2(CO7)2,3.7426612483
1291,LiV2(PO4)3,Li7V8(PO4)12,3.7463020367
132,Rb2CrF6,Rb2LiCrF6,4.4355141667
733,MnCr3(PO4)6,Li6MnCr3(PO4)6,4.3599836517
109,Li(CoO2)3,LiCoO2,3.6376029767
949,Li4Mn5O10,Li8Mn5O10,1.9256955908
578,Mn5O3F5,LiMn5O3F5,2.6516715867
947,LiMn7O12,Li5Mn7O12,2.8579076608
895,MnFe(PO4)2,Li2MnFe(PO4)2,3.6329837233
975,Fe5OF11,Li3Fe5OF11,3.51637402
