,formula_charge,formula_discharge,voltage
274,KFe(SO4)2,KLiFe(SO4)2,2.4387177742
1064,NiH12(SO7)2,Li2NiH12(SO7)2,4.4657679958
421,Mo2PO8,LiMo2PO8,3.2008875817
1166,Li4MnF8,Li5MnF8,4.5198552333
957,Li3Mn4(PO4)6,Li3Mn2(PO4)3,4.1161879567
388,Ti3Mn3(SbO8)2,Li4Ti3Mn3(SbO8)2,3.1956342467
976,Fe4OF7,LiFe4OF7,2.7964716633
386,Mn2(SO4)3,Li2Mn2(SO4)3,4.5862354417
697,Li2Cr3NiO8,Li5Cr3NiO8,2.9024430233
555,LiCo2(PO4)2,LiCoPO4,4.3814133567
973,MnPO4,Li2Mn3(PO4)3,3.6070208483
831,Li2Nb6NiO18,Li5Nb6NiO18,3.516421385
941,Li2V5O10,Li3V5O10,2.6953015733
78,Li2CrCo3O8,Li3CrCo3O8,3.2705867067
807,Mn5SnO12,Li4Mn5SnO12,3.1805867033
745,TiCo3O8,Li3TiCo3O8,3.73214665
623,MnPO4,LiMnPO4,3.9001742842
1004,LiV2OF7,Li3V2OF7,3.8453607758
158,Cs2VF6,Cs4LiV2F12,2.7672290867
794,LiCr(CoO3)2,Li3Cr(CoO3)2,3.4975313783
910,VNi(PO4)2,Li2VNi(PO4)2,3.1198466508
407,MnV(P2O7)2,LiMnV(P2O7)2,4.5043406967
1135,VF5,LiVF5,5.0143061908
835,Nb4VO12,Li3Nb4VO12,2.3863206433
118,Li3TiCo3O8,Li4TiCo3O8,2.9401151317
695,Mn3Cu3(TeO8)2,Li4Mn3Cu3(TeO8)2,3.9879125883
587,Li2VO3F,Li3VO3F,2.9301814467
1274,VP2O7,LiVP2O7,3.6013977058
850,Li2Cr(CO3)3,Li3Cr(CO3)3,4.1930808583
944,Mn5O8,Li3Mn5O8,2.8245171533
41,LiFe2(CO3)4,LiFe(CO3)2,4.3259315467
401,MnVO4,LiMnVO4,3.5460990467
884,Mn3Cr5O16,Li4Mn3Cr5O16,4.1306214383
285,Mn3FeO8,Li2Mn3FeO8,4.0015909417
1208,Mn4OF8,Li2Mn4OF8,3.5983588608
